net,length_um
net1321,937.62
net1694,936.79
_09787_,936.49
net685,935.91
net1093,935.24
gpio_control_in_2\[5\].serial_load,934.76
net1541,934.12
net1801,932.92
net1397,932.46
net1691,932.14
mgmt_buffers.la_data_out_core\[12\],932.04
soc.core.la_oe_storage\[5\],931.99
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[26\],931.46
net782,929.89
mgmt_buffers.la_data_out_core\[1\],929
soc.core.hk_dat_i\[19\],928.95
soc.core.hk_dat_i\[2\],926.1
net609,925.8
net643,925.53
_09829_,925.37
net1374,924.74
soc.core.VexRiscv.decode_to_execute_RS2\[30\],924.49
soc.core.la_oe_storage\[11\],923.93
net948,923.51
mgmt_io_out_hk\[18\],923.35
net1379,922.74
net807,921.91
net808,921.72
_13224_,921.58
net538,921.07
mgmt_buffers.mprj_dat_i_user\[21\],920.5
net1710,920.3
soc.core.VexRiscv._zz_execute_SRC2\[22\],919.96
net1673,919.53
net1753,919.53
mgmt_buffers.mprj_dat_i_user\[13\],918.97
net1323,918.65
soc.core.hk_dat_i\[3\],918.26
net1310,917.26
net1655,917.19
net1759,916.68
net950,916.13
soc.core.hk_dat_i\[10\],916.12
soc.core.VexRiscv.decode_to_execute_RS2\[9\],915.84
net708,915.44
_09660_,914.58
net1778,914.53
soc.core.hk_dat_i\[16\],913.88
soc.core.VexRiscv.decode_to_execute_RS2\[11\],913.67
_05280_,913.56
net635,913.56
net513,912.52
mgmt_buffers.mprj_dat_i_user\[25\],912.15
net1087,911.82
net498,911.73
net879,911.69
net464,911.67
user_io_oeb\[32\],911.42
_09770_,911.38
mgmt_buffers.mprj_dat_i_user\[14\],911.08
net1086,910.5
soc.core.hk_dat_i\[5\],910.42
net1356,910.01
net1761,909.4
net1784,908.42
net1373,908.24
net1097,907.93
mgmt_buffers.la_data_out_core\[11\],907.67
soc.core.VexRiscv.externalInterruptArray_regNext\[5\],905.62
_10058_,903.86
_15664_,903.12
soc.core.VexRiscv._zz_dBus_cmd_payload_data\[3\],902.38
net653,901.43
net512,901.16
net23,900.63
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[3\],899.73
net1002,899.01
mgmt_buffers.la_data_out_core\[13\],897.64
net540,896.79
soc.core.la_oe_storage\[13\],896.48
soc.core.VexRiscv.decode_to_execute_RS2\[31\],896.24
soc.core.la_oe_storage\[1\],896.05
net965,895.41
net24,895.3
net845,895.12
net1441,894.37
net589,893.63
net1095,893.48
net1324,893.14
user_io_oeb\[33\],891.99
net556,891.86
net1227,890.41
net674,888.31
net1138,888.31
net611,888.09
net1092,887.8
net693,887.64
mgmt_buffers.mprj_adr_o_core\[28\],887.51
net1325,887.37
net1136,887.24
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[2\],886.94
soc.core.la_oe_storage\[4\],886.53
soc.core.VexRiscv.decode_to_execute_RS2\[8\],885.89
soc.core.hk_dat_i\[20\],885.78
mgmt_buffers.mprj_adr_o_core\[30\],885.32
_09929_,885.19
net1757,884.2
net1368,883.34
net1749,883.13
user_io_oeb\[34\],883
net1781,882.71
net982,880.98
net1237,880.33
net1755,880.28
soc.core.VexRiscv._zz_execute_SRC2\[23\],879.93
net759,879.73
soc.core.hk_dat_i\[11\],878.65
net1024,878.18
net1057,878.17
net704,877.72
net697,877.59
soc.core.la_oe_storage\[0\],877.35
net597,876.19
net1747,875.8
net1683,875.76
mgmt_buffers.mprj_adr_o_core\[6\],875.67
net1089,875.41
_14580_,874.96
_09886_,874.82
soc.core.VexRiscv.CsrPlugin_selfException_payload_badAddr\[12\],874.71
net775,874.29
net536,874.09
mgmt_buffers.mprj_dat_i_user\[26\],874.02
net1914,872.53
soc.core.VexRiscv.decode_to_execute_RS2\[14\],871.85
mgmt_buffers.la_data_out_core\[4\],870.25
net724,870.12
soc.core.hk_dat_i\[17\],868.98
_09883_,868.95
net411,868.15
mgmt_buffers.la_data_out_core\[6\],867.96
mgmt_buffers.mprj_dat_i_user\[23\],867.96
net1153,866.94
soc.core.hk_dat_i\[21\],866.84
net1301,866.84
mgmt_buffers.mprj_adr_o_core\[31\],865.96
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[3\],865.57
net806,864.23
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[4\],864.13
soc.core.hk_dat_i\[8\],864.04
soc.core.bus_dat_r\[14\],863.38
net530,862.69
net696,862.31
mgmt_buffers.mprj_dat_o_core\[7\],862.19
mgmt_buffers.la_data_out_core\[0\],862.04
net616,861.74
net801,861.38
net1765,861.24
soc.core.la_oe_storage\[12\],860.92
net593,860.54
_09659_,860.26
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[2\],859.94
mgmt_buffers.la_data_in_core\[12\],859
net1082,858.36
net689,857.94
soc.core.VexRiscv._zz_execute_SRC2\[16\],857.89
net702,855.13
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[14\],854.93
net427,854.41
soc.core.hk_dat_i\[18\],853.35
net1305,852.18
soc.core.VexRiscv._zz_dBus_cmd_payload_data\[2\],852.17
net1675,851.67
_09143_,851.03
net586,850.72
soc.core.hk_dat_i\[1\],850.5
net438,847
